Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
2016-2017,16,Manchester City,eng ENG,Jr. PL2 â€” Div. 1,2nd,6.6,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,17,Dortmund U19,de GER,Jr. U19 Bundesliga,7th,1,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,17,Dortmund,de GER,1. Bundesliga,4th,7.7,,,,,,,,,,,,,,,,,,,,,Matches
2018-2019,18,Dortmund,de GER,1. Bundesliga,2nd,27.4,1805,10,182,750,1046,138,1691,121,200,60.5,132,7,1589,11396,6781,1700,1404,82.6,72,72,Matches
2019-2020,19,Dortmund,de GER,1. Bundesliga,2nd,20.1,1525,6,122,694,838,122,1456,71,129,55,77,8,1264,7999,4711,1534,1275,83.1,48,43,Matches
3 Seasons,,1 Club,,1 League,,55.1,3330,16,304,1444,1884,260,3147,192,329,58.4,209,15,2853,19395,11492,3234,2679,82.8,120,115,
Dortmund (3 Seasons),,,,1 League,,55.1,3330,16,304,1444,1884,260,3147,192,329,58.4,209,15,2853,19395,11492,3234,2679,82.8,120,115,
Manchester City (1 Season),,,,1 League,,6.6,,,,,,,,,,,,,,,,,,,,,
Dortmund U19 (1 Season),,,,1 League,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (3 Seasons),,,,,,55.1,3330,16,304,1444,1884,260,3147,192,329,58.4,209,15,2853,19395,11492,3234,2679,82.8,120,115,
PL2 â€” Div. 1 (1 Season),,,,,,6.6,,,,,,,,,,,,,,,,,,,,,
U19 Bundesliga (1 Season),,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
